matratt_norm,obs,total_kg,svinn_g_p,match_status,matched_nutrition_dish,protein_g,energi_kcal,exclusion_reason
ky korvgryta,2,52.6,41.3,unmatched,,,,unmatched_nutrition
chilicon,2,51.6,40.5,unmatched,,,,unmatched_nutrition
spagetti hetsås,3,50.9,76.4,unmatched,,,,unmatched_nutrition
"quornbiff, mos",2,50.0,74.7,unmatched,,,,unmatched_nutrition
qournbiff,3,49.9,33.3,unmatched,,,,unmatched_nutrition
spag ksås,2,49.7,40.3,unmatched,,,,unmatched_nutrition
järpar,3,48.2,33.5,unmatched,,,,unmatched_nutrition
vårrullar,6,47.9,49.6,unmatched,,,,unmatched_nutrition
"pasta,baconsås",5,47.3,45.7,unmatched,,,,unmatched_nutrition
fisk kallsås,2,47.0,56.0,unmatched,,,,unmatched_nutrition
"spenat,fisk",2,45.7,57.6,unmatched,,,,unmatched_nutrition
pasta papsås,2,45.5,43.2,unmatched,,,,unmatched_nutrition
korv stroganoff,9,45.0,16.9,unmatched,,,,unmatched_nutrition
pyttipanna,15,44.9,39.3,unmatched,,,,unmatched_nutrition
snitzel,9,44.6,23.4,unmatched,,,,unmatched_nutrition
färssoppa,2,44.2,39.3,unmatched,,,,unmatched_nutrition
taco,7,43.7,31.4,unmatched,,,,unmatched_nutrition
bordelaise,3,43.1,49.7,unmatched,,,,unmatched_nutrition
kött soppa,2,42.8,39.6,unmatched,,,,unmatched_nutrition
korv pasta,6,42.6,27.3,unmatched,,,,unmatched_nutrition
skinkstek,6,41.5,29.8,unmatched,,,,unmatched_nutrition
nobel,4,41.4,33.0,unmatched,,,,unmatched_nutrition
köttfärsgryta,7,41.3,25.9,unmatched,,,,unmatched_nutrition
biffstroganoff,3,41.0,31.9,unmatched,,,,unmatched_nutrition
soppbuffe,2,40.3,17.9,unmatched,,,,unmatched_nutrition
stekt kyckl,2,40.0,47.6,unmatched,,,,unmatched_nutrition
sprödbakad fisk,3,39.5,27.2,unmatched,,,,unmatched_nutrition
pasta paprikasås,2,39.0,35.7,unmatched,,,,unmatched_nutrition
spaghetti het sås,2,39.0,34.5,unmatched,,,,unmatched_nutrition
lasagnettegratäng,3,38.9,35.2,unmatched,,,,unmatched_nutrition
kyckling gryta,3,38.7,34.6,unmatched,,,,unmatched_nutrition
chiliconcarne,4,37.1,37.1,unmatched,,,,unmatched_nutrition
"fiskgratäng,pot",2,37.0,39.0,unmatched,,,,unmatched_nutrition
stekt fisk,2,37.0,32.1,unmatched,,,,unmatched_nutrition
"pasta,paprikasås",4,36.0,69.8,unmatched,,,,unmatched_nutrition
hetfärssoppa,1,34.3,92.7,unmatched,,,,fewer_than_2_observations
korvstroganoff,6,33.5,34.6,unmatched,,,,unmatched_nutrition
pasta buffe,3,33.2,22.4,unmatched,,,,unmatched_nutrition
kassler currytäcke,2,33.1,37.1,unmatched,,,,unmatched_nutrition
stekt kyckling,7,31.7,49.6,unmatched,,,,unmatched_nutrition
"korv,mos",5,31.4,44.2,unmatched,,,,unmatched_nutrition
frasig burgare,3,31.4,29.4,unmatched,,,,unmatched_nutrition
vårrulle,1,30.5,71.3,unmatched,,,,fewer_than_2_observations
stroganoff,3,30.2,33.8,unmatched,,,,unmatched_nutrition
"kyckl,gryta",1,30.0,63.0,unmatched,,,,fewer_than_2_observations
paneradtorsk,1,30.0,69.0,unmatched,,,,fewer_than_2_observations
"korv, mos",4,29.9,34.9,unmatched,,,,unmatched_nutrition
mexicanskgr,1,29.2,67.9,unmatched,,,,fewer_than_2_observations
"pasta,papsås",1,29.0,74.0,unmatched,,,,fewer_than_2_observations
